step,total_steps,agv_actor_loss,agv_value_loss,agv_entropy,agv_approx_kl,pick_actor_loss,pick_value_loss,pick_entropy,pick_approx_kl
1024,1024,0.18728289031423628,0.047575430711731315,4.524201944470406,1.3015522118657827,0.2996205035597086,0.022933324129553512,4.539370894432068,3.7302020490169525
2048,2048,0.0973058674717322,0.017976658971747383,3.7762305289506912,0.7205598950386047,0.23752824682742357,0.005436835970613174,3.027186334133148,3.7489972934126854
3072,3072,0.0737038932275027,0.018761277111480013,3.3546228632330894,0.5444852858781815,0.24382305005565286,0.0037776244134875014,1.4731829762458801,4.323406092822552
4096,4096,0.07758256699889898,0.014212147856596857,3.199704147875309,0.46418596245348454,0.23363232240080833,0.0016965758495643968,2.3879052847623825,3.019179657101631
5120,5120,0.11778539884835482,0.020558026037178934,3.0839450508356094,0.5933983381837606,0.228807024192065,0.0021992940000927774,1.4550188761204481,3.330261953175068
6144,6144,0.1132853776216507,0.040352697658818215,2.8582744747400284,0.9158482421189547,0.10070758278016001,0.0030392146691156086,1.2682913821190596,2.8567667454481125
7168,7168,0.09604309388669208,0.017448836646508425,2.489314690232277,0.6931293308734894,0.1517995959147811,0.0022627751968684606,1.825061772018671,3.897177644073963
8192,8192,0.05229137191781774,0.009930565625836607,2.3336289077997208,0.5487191714346409,0.21221948508173227,0.0011026625161321135,4.339085415005684,6.653717070817947
9216,9216,0.033097591425757855,0.006963082593756553,2.282994046807289,0.42268015444278717,0.23361699236556888,0.0008301659740936884,4.640269309282303,6.946477651596069
10240,10240,0.041109664918622,0.012524284618848469,2.252796672284603,0.558518823236227,0.08820714836474508,0.00127221237971753,3.2054804116487503,4.181297957897186
11264,11264,0.1380887981504202,0.007159458662499674,2.1147913560271263,1.0324487295001745,0.013805923284962773,0.0031593217954650754,0.12040703231468797,1.596009861677885
12288,12288,0.1481536270584911,0.005890690888918471,2.2511914372444153,1.0652967505156994,0.036117232841206715,0.0015714139153715223,0.14933153823949397,0.971234604716301
13312,13312,0.11407615384086967,0.004096235410543159,2.326503746211529,0.9001127164810896,0.04897853691363707,0.001420332268025959,0.14540682500228286,0.4232699070125818
14336,14336,0.10699504124931991,0.004524826428678352,2.366344466805458,0.9076541401445866,0.03920825969544239,0.0013088166788293165,0.19698080653324723,1.9651295617222786
